"Código
Departamental",Nombre del Departamento,"Código
Municipal","Código
Depto+Mpio+Cpob",Nombre de Municipios y Corregimientos Departamentales,Cabeceras y Centros Poblados,Categoría,Cantidad de Manzanas,Año de Creación,Acto Administrativo,Segregado de
05,Antioquia,05 - 001,05 - 001 - 000,MEDELLÍN,Medellín,CM,12081,1675,,
05,Antioquia,05 - 001,05 - 001 - 001,MEDELLÍN,Palmitas,C,4,,,
05,Antioquia,05 - 001,05 - 001 - 004,MEDELLÍN,Santa Elena,C,3,,,
05,Antioquia,05 - 001,05 - 001 - 005,MEDELLÍN,Pedregal Alto,IPM,,,,
05,Antioquia,05 - 001,05 - 001 - 009,MEDELLÍN,Altavista,C,68,,,
05,Antioquia,05 - 001,05 - 001 - 010,MEDELLÍN,Aguas Frías,CP,30,,,
05,Antioquia,05 - 001,05 - 001 - 012,MEDELLÍN,La Loma,CP,44,,,
05,Antioquia,05 - 001,05 - 001 - 013,MEDELLÍN,San José Del Manzanillo,CP,14,,,
05,Antioquia,05 - 001,05 - 001 - 032,MEDELLÍN,Travesias,CP,,,,
05,Antioquia,05 - 002,05 - 002 - 000,ABEJORRAL,Abejorral,CM,127,1814,,
05,Antioquia,05 - 002,05 - 002 - 002,ABEJORRAL,Pantanillo,C,13,,,
05,Antioquia,05 - 002,05 - 002 - 006,ABEJORRAL,Purnia,CAS,,,,
05,Antioquia,05 - 002,05 - 002 - 010,ABEJORRAL,El Cairo,CAS,,,,
05,Antioquia,05 - 004,05 - 004 - 000,ABRIAQUÍ,Abriaquí,CM,15,1912, ,
05,Antioquia,05 - 004,05 - 004 - 002,ABRIAQUÍ,La Antigua,C,,,,
05,Antioquia,05 - 021,05 - 021 - 000,ALEJANDRÍA,Alejandría,CM,31,1907,Decreto departamental 304 de 1907,
05,Antioquia,05 - 030,05 - 030 - 000,AMAGÁ,Amagá,CM,93,1912, ,
05,Antioquia,05 - 030,05 - 030 - 001,AMAGÁ,Camilo C,CAS,19,,,
05,Antioquia,05 - 030,05 - 030 - 002,AMAGÁ,El Cedro,IPD,,,,
05,Antioquia,05 - 030,05 - 030 - 003,AMAGÁ,La Clarita,CAS,16,,,
